onset,duration,trial_type,response_time,word,response,correct_resp,gender,age,sub,ses,run,year,month,day,hour,minute
434.7009110000217,0.6885331999511095,image_neg,0.5223372000036761,dread,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
447.301027999958,0.6885337000712752,image_neg,0.4889460999984294,screech,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
454.7010837000562,0.6885451999260113,image_pos,0.3889337999280542,water,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
467.30111130001023,0.688514000037685,image_neg,0.488900399999693,hierarchy,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
477.301304499968,0.6885124000255018,image_pos,0.8391146999783814,engineer,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
487.30099460005295,0.6887538000009954,image_neg,0.6392719999421388,whine,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
494.7014412999852,0.6884775999932913,image_pos,0.7556917000329122,apricot,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
507.301361800055,0.6886268999660388,image_neg,0.9558303999947384,desk,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
514.701718700002,0.6882783999899402,image_pos,0.4388817000435665,intellect,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
527.3016074999468,0.6886048000305891,image_pos,0.5056622000411153,clue,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
537.3017493999796,0.6885520999785513,image_neg,0.6389136000070721,grief,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
547.302116899984,0.6883424000116065,image_pos,0.6553784999996424,rum,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
554.7017428999534,0.6886787000112236,image_neg,0.8225392000749707,editor,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
564.7018637999427,0.6886468000011519,image_neg,0.7559965000255033,stapler,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
577.3019752999535,0.6885594000341371,image_neg,0.572492300067097,mob,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
584.7020820999751,0.6886620000004768,image_neg,0.7059369999915361,company,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
594.7025382999564,0.68822310003452,image_pos,0.8055855000857264,spring,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
0.9967297000112012,0.6889427000423891,word_neg,0.4199121999554336,dictation,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
10.990127000026405,0.6957817999646068,word_neg,0.5367616999428719,dangerous,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
20.987919999985024,0.6980530000291765,word_neu,0.5037918000016361,corn,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
30.989485600031912,0.6964738999959081,word_pos,0.5554192999843508,theater,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
40.98808379995171,0.698055800050497,word_neg,0.5057249999372289,ant,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
50.98963480000384,0.6966137000126764,word_pos,0.5720226999837905,book,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
60.98922939994373,0.6970233001047674,word_neu,0.9890720000257716,arm,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
70.98836570000276,0.6980395000427961,word_pos,0.6720969000598416,bed,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
80.98924000002444,0.6972484999569133,word_pos,0.688847600016743,awe,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
90.9883313999744,0.6981978000840456,word_neg,0.7890572999604046,dead,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
100.98924529994838,0.6973292001057416,word_neu,0.755842600017786,umbrella,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
110.98907839995807,0.6975322000216835,word_neu,0.6389061000663787,mandolin,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
120.9887374000391,0.6979854999808595,word_neu,0.6220561000518501,bus,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
130.98891990003176,0.6979745000135154,word_pos,0.4554739999584853,cash,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
140.99005410005338,0.696958199958317,word_pos,0.5391287000384182,cherry,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
150.99089220003225,0.6961099000182003,word_pos,0.5553105999715626,television,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
160.9901683999924,0.6968427000101656,word_pos,0.7221945999190211,penguin,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
170.9897409999976,0.6974304000613927,word_neg,1.1387901999987662,ambulance,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
180.9895947000477,0.6976985000074478,word_neg,0.4222230000887066,army,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
190.98965360003052,0.6977083999663591,word_neu,0.6222203000215814,number,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
200.9897251999937,0.6977465000236123,word_pos,0.6721517998958007,morning,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
210.98943720001265,0.6981800999491838,word_neg,0.805552399950102,vice,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
220.9897886000108,0.6978035999927954,word_neu,0.7390646999701858,carrot,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
230.99015640001744,0.6974260000279173,word_neu,0.8056434000609443,hairbrush,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
240.9900826000376,0.6975730999838561,word_pos,0.6889370999997482,drum,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
250.99008889996912,0.6978243000339717,word_neg,0.8061078999890015,cab,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
260.99183730001096,0.6961168999550864,word_neg,0.9391002000775188,mosquito,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
270.99003300000913,0.6979573999997228,word_neu,1.1390360000077635,dime,b,0.0,male,21.0,101,1,5,2023,3,23,11,31
